Nombre real / Agrupacion,Nacimiento,Ocupación,alias,Género(s),Instrumento(s),Período de actividad,Sitio Web,Discografia,Sencillos,Sexo,tipo,titulo_canal,id_canal,fecha,id_video_canal,titulo_video,descripcion,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1976 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2017-03-09T00:51:06.000Z,G4bPF7Dewcg,Cantan Los Gemelitos de Gerardo Moran,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1977 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2017-01-25T19:24:24.000Z,MCszMbv_H78,HEREDIA ft GERARDO MORAN-Brindemos Por Ella,Videoclip del tema Brindemos Por Ella de HEREDIA con la colaboracion de GERARDO MORAN. Presentado por VALMIO CD 2017,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1978 - Presente,NULL,NULL,NULL,Masculino,subscription,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2017-01-24T19:06:00.000Z,NULL,HEREDIA ft GERARDO MORAN-Brindemos Por Ella,Videoclip del tema Brindemos Por Ella de HEREDIA con la colaboracion de GERARDO MORAN. Presentado por VALMIO CD 2017,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1979 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-12-15T02:37:51.000Z,UDjdW7S2UYM,GERARDO MORAN-CUMPLEAÑOS 2016,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1980 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-12-15T02:37:48.000Z,saq0GD-Zx9w,Hijas de Gerardo Moran KERLY y DAYANA,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1981 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-12-15T02:33:09.000Z,dIeoDVaKUys,Habla Gerardo Moran sobre insultos hechos a su familia,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1982 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-12-09T23:52:02.000Z,QQ0lozsqvjs,Gerardo Morán/Navidad familia Moran 2016,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1983 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-11-25T16:35:13.000Z,VyehBKivueQ,GERARDO MORAN - HOMENAJE A QUITO,|,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1984 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-06-20T14:15:45.000Z,w2K0D6fkW84,GERARDO MORÁN FT MARCO ORDOÑEZ - NEGRITA CONSENTIDA,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1985 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-06-18T22:10:25.000Z,2kOfV2t4mOE,GERARDO MORAN FEAT KEVIN - COMO TU SANGRE EN MI CUERPO,Música Ecuatoriana,NULL
GERARDO MORAN,Bolívar. Ecuador,Cantante,El más querido,Rocola Tecnocumbia,Cantante,1986 - Presente,NULL,NULL,NULL,Masculino,upload,Gerardo Moran -Canal Ofical-,UCanUGZIPnKGcjzQoqfyL6wQ,2016-06-07T23:46:54.000Z,C4AZTlF1o7A,GERARDO MORÁN - TONELADAS DE ALABANZA,Música Ecuatoriana,NULL
